seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
97,1,1,match_tap,942,121,0,83,509,668,0
0,1,1,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0
0,1,2,0,0,0,0,0,0,0,0
0,1,2,0,0,0,0,0,0,0,0
17,1,2,clash_tap,1244,405,0,478,630,0,0
0,1,2,0,0,0,0,0,0,0,0
0,1,3,0,0,0,0,0,0,0,0
119,1,3,match_this,1336,335,142,532,610,1258,0
0,1,3,0,0,0,0,0,0,0,0
0,1,3,0,0,0,0,0,0,0,0
0,1,4,0,0,0,0,0,0,0,0
0,1,4,0,0,0,0,0,0,0,0
0,1,4,0,0,0,0,0,0,0,0
187,1,4,clash_this,821,344,90,468,342,462,0
81,1,5,match_tap,0,575,0,515,412,1341,0
0,1,5,0,0,0,0,0,0,0,0
0,1,5,0,0,0,0,0,0,0,0
0,1,5,0,0,0,0,0,0,0,0
0,1,6,0,0,0,0,0,0,0,0
0,1,6,0,0,0,0,0,0,0,0
133,1,6,clash_tap,1418,728,0,583,449,771,0
0,1,6,0,0,0,0,0,0,0,0
0,1,7,0,0,0,0,0,0,0,0
59,1,7,match_this,1008,0,0,267,161,1387,0
0,1,7,0,0,0,0,0,0,0,0
0,1,7,0,0,0,0,0,0,0,0
0,1,8,0,0,0,0,0,0,0,0
0,1,8,0,0,0,0,0,0,0,0
0,1,8,0,0,0,0,0,0,0,0
151,1,8,clash_this,877,433,152,379,373,448,0
61,1,9,match_tap,761,612,0,293,224,800,0
0,1,9,0,0,0,0,0,0,0,0
0,1,9,0,0,0,0,0,0,0,0
0,1,9,0,0,0,0,0,0,0,0
0,1,10,0,0,0,0,0,0,0,0
0,1,10,0,0,0,0,0,0,0,0
0,1,10,0,0,0,0,0,0,0,0
183,1,10,clash_this,0,371,106,513,490,841,0
157,1,11,match_tap,942,532,0,407,515,351,0
0,1,11,0,0,0,0,0,0,0,0
0,1,11,0,0,0,0,0,0,0,0
0,1,11,0,0,0,0,0,0,0,0
0,1,12,0,0,0,0,0,0,0,0
0,1,12,0,0,0,0,0,0,0,0
0,1,12,0,0,0,0,0,0,0,0
3,1,12,clash_this,1648,824,160,412,352,1164,0
0,1,13,0,0,0,0,0,0,0,0
39,1,13,match_this,1222,419,324,490,388,1243,0
0,1,13,0,0,0,0,0,0,0,0
0,1,13,0,0,0,0,0,0,0,0
0,1,14,0,0,0,0,0,0,0,0
0,1,14,0,0,0,0,0,0,0,0
93,1,14,clash_tap,1174,577,168,817,322,263,0
0,1,14,0,0,0,0,0,0,0,0
9,1,15,match_tap,1423,857,0,522,1693,704,0
0,1,15,0,0,0,0,0,0,0,0
0,1,15,0,0,0,0,0,0,0,0
0,1,15,0,0,0,0,0,0,0,0
0,1,16,0,0,0,0,0,0,0,0
0,1,16,0,0,0,0,0,0,0,0
0,1,16,0,0,0,0,0,0,0,0
167,1,16,clash_this,1225,583,0,400,341,327,0
0,1,17,0,0,0,0,0,0,0,0
143,1,17,match_this,801,766,0,699,531,490,0
0,1,17,0,0,0,0,0,0,0,0
0,1,17,0,0,0,0,0,0,0,0
0,1,18,0,0,0,0,0,0,0,0
0,1,18,0,0,0,0,0,0,0,0
0,1,18,0,0,0,0,0,0,0,0
27,1,18,clash_this,938,481,177,448,589,1059,0
0,1,19,0,0,0,0,0,0,0,0
147,1,19,match_this,982,465,134,478,893,947,0
0,1,19,0,0,0,0,0,0,0,0
0,1,19,0,0,0,0,0,0,0,0
0,1,20,0,0,0,0,0,0,0,0
0,1,20,0,0,0,0,0,0,0,0
0,1,20,0,0,0,0,0,0,0,0
107,1,20,clash_this,1595,946,167,439,388,629,0
53,1,21,match_tap,1184,436,180,526,267,416,0
0,1,21,0,0,0,0,0,0,0,0
0,1,21,0,0,0,0,0,0,0,0
0,1,21,0,0,0,0,0,0,0,0
0,1,22,0,0,0,0,0,0,0,0
0,1,22,0,0,0,0,0,0,0,0
0,1,22,0,0,0,0,0,0,0,0
15,1,22,clash_this,330,1169,160,499,469,1487,0
173,1,23,match_tap,970,431,164,336,246,1277,0
0,1,23,0,0,0,0,0,0,0,0
0,1,23,0,0,0,0,0,0,0,0
0,1,23,0,0,0,0,0,0,0,0
0,1,24,0,0,0,0,0,0,0,0
0,1,24,0,0,0,0,0,0,0,0
0,1,24,0,0,0,0,0,0,0,0
43,1,24,clash_this,1415,729,158,429,711,1227,0
0,1,25,0,0,0,0,0,0,0,0
87,1,25,match_this,1271,0,0,241,1029,1003,0
0,1,25,0,0,0,0,0,0,0,0
0,1,25,0,0,0,0,0,0,0,0
0,1,26,0,0,0,0,0,0,0,0
0,1,26,0,0,0,0,0,0,0,0
121,1,26,clash_tap,863,804,96,539,351,879,0
0,1,26,0,0,0,0,0,0,0,0
197,1,27,match_tap,978,614,0,489,318,1289,0
0,1,27,0,0,0,0,0,0,0,0
0,1,27,0,0,0,0,0,0,0,0
0,1,27,0,0,0,0,0,0,0,0
0,1,28,0,0,0,0,0,0,0,0
0,1,28,0,0,0,0,0,0,0,0
33,1,28,clash_tap,1032,364,0,0,892,486,0
0,1,28,0,0,0,0,0,0,0,0
73,1,29,match_tap,944,646,0,355,342,1286,0
0,1,29,0,0,0,0,0,0,0,0
0,1,29,0,0,0,0,0,0,0,0
0,1,29,0,0,0,0,0,0,0,0
0,1,30,0,0,0,0,0,0,0,0
0,1,30,0,0,0,0,0,0,0,0
193,1,30,clash_tap,955,0,0,243,483,736,0
0,1,30,0,0,0,0,0,0,0,0
0,1,31,0,0,0,0,0,0,0,0
47,1,31,match_this,914,756,0,589,387,473,0
0,1,31,0,0,0,0,0,0,0,0
0,1,31,0,0,0,0,0,0,0,0
0,1,32,0,0,0,0,0,0,0,0
0,1,32,0,0,0,0,0,0,0,0
0,1,32,0,0,0,0,0,0,0,0
67,1,32,clash_this,858,517,140,670,267,744,0
0,1,33,0,0,0,0,0,0,0,0
179,1,33,match_this,1026,472,0,321,236,695,0
0,1,33,0,0,0,0,0,0,0,0
0,1,33,0,0,0,0,0,0,0,0
0,1,34,0,0,0,0,0,0,0,0
0,1,34,0,0,0,0,0,0,0,0
0,1,34,0,0,0,0,0,0,0,0
23,1,34,clash_this,870,0,224,768,404,1768,0
0,1,35,0,0,0,0,0,0,0,0
127,1,35,match_this,0,1144,0,412,443,957,0
0,1,35,0,0,0,0,0,0,0,0
0,1,35,0,0,0,0,0,0,0,0
0,1,36,0,0,0,0,0,0,0,0
0,1,36,0,0,0,0,0,0,0,0
0,1,36,0,0,0,0,0,0,0,0
79,1,36,clash_this,1172,354,170,428,361,996,0
0,1,37,0,0,0,0,0,0,0,0
103,1,37,match_this,862,653,179,0,423,365,0
0,1,37,0,0,0,0,0,0,0,0
0,1,37,0,0,0,0,0,0,0,0
0,1,38,0,0,0,0,0,0,0,0
0,1,38,0,0,0,0,0,0,0,0
0,1,38,0,0,0,0,0,0,0,0
163,1,38,clash_this,1060,953,0,928,837,394,0
113,1,39,match_tap,941,662,208,0,413,1883,0
0,1,39,0,0,0,0,0,0,0,0
0,1,39,0,0,0,0,0,0,0,0
0,1,39,0,0,0,0,0,0,0,0
0,1,40,0,0,0,0,0,0,0,0
0,1,40,0,0,0,0,0,0,0,0
137,1,40,clash_tap,785,649,0,237,514,269,0
0,1,40,0,0,0,0,0,0,0,0
97,2,1,0,0,0,0,0,0,0,0
0,2,1,0,0,0,0,0,0,0,0
17,2,1,clash_tap,1234,0,175,949,451,733,322
0,2,1,0,0,0,0,0,0,0,0
97,2,2,match_tap,0,771,295,1434,1081,0,0
0,2,2,0,0,0,0,0,0,0,0
17,2,2,0,0,0,0,0,0,0,0
0,2,2,0,0,0,0,0,0,0,0
0,2,3,0,0,0,0,0,0,0,0
119,2,3,0,0,0,0,0,0,0,0
0,2,3,0,0,0,0,0,0,0,0
187,2,3,clash_this,1208,1203,129,1008,769,0,0
0,2,4,0,0,0,0,0,0,0,0
119,2,4,match_this,1319,858,155,702,835,0,0
0,2,4,0,0,0,0,0,0,0,0
187,2,4,0,0,0,0,0,0,0,0
81,2,5,0,0,0,0,0,0,0,0
0,2,5,0,0,0,0,0,0,0,0
133,2,5,clash_tap,1324,1187,0,979,1813,1164,0
0,2,5,0,0,0,0,0,0,0,0
81,2,6,match_tap,1897,1383,449,687,615,1744,0
0,2,6,0,0,0,0,0,0,0,0
133,2,6,0,0,0,0,0,0,0,0
0,2,6,0,0,0,0,0,0,0,0
0,2,7,0,0,0,0,0,0,0,0
59,2,7,0,0,0,0,0,0,0,0
0,2,7,0,0,0,0,0,0,0,0
151,2,7,clash_this,1818,798,296,818,479,0,0
0,2,8,0,0,0,0,0,0,0,0
0,2,8,0,0,0,0,0,0,0,0
0,2,8,0,0,0,0,0,0,0,0
151,2,8,0,0,0,0,0,0,0,0
61,2,9,0,0,0,0,0,0,0,0
0,2,9,0,0,0,0,0,0,0,0
183,2,9,clash_tap,0,754,105,859,518,0,0
0,2,9,0,0,0,0,0,0,0,0
61,2,10,match_tap,1329,803,0,630,765,1632,0
0,2,10,0,0,0,0,0,0,0,0
0,2,10,0,0,0,0,0,0,0,0
183,2,10,0,0,0,0,0,0,0,0
157,2,11,0,0,0,0,0,0,0,0
0,2,11,0,0,0,0,0,0,0,0
0,2,11,0,0,0,0,0,0,0,0
3,2,11,clash_this,860,431,169,469,433,836,0
0,2,12,0,0,0,0,0,0,0,0
157,2,12,match_this,1144,397,179,548,973,1304,0
0,2,12,0,0,0,0,0,0,0,0
3,2,12,0,0,0,0,0,0,0,0
0,2,13,0,0,0,0,0,0,0,0
39,2,13,0,0,0,0,0,0,0,0
0,2,13,0,0,0,0,0,0,0,0
0,2,13,0,0,0,0,0,0,0,0
39,2,14,match_tap,0,494,345,1005,689,0,0
0,2,14,0,0,0,0,0,0,0,0
93,2,14,0,0,0,0,0,0,0,0
0,2,14,0,0,0,0,0,0,0,0
9,2,15,0,0,0,0,0,0,0,0
0,2,15,0,0,0,0,0,0,0,0
0,2,15,0,0,0,0,0,0,0,0
0,2,15,0,0,0,0,0,0,0,0
0,2,16,0,0,0,0,0,0,0,0
9,2,16,match_this,1297,0,0,151,742,1477,0
0,2,16,0,0,0,0,0,0,0,0
167,2,16,0,0,0,0,0,0,0,0
0,2,17,0,0,0,0,0,0,0,0
143,2,17,0,0,0,0,0,0,0,0
27,2,17,clash_tap,986,856,124,0,939,0,0
0,2,17,0,0,0,0,0,0,0,0
143,2,18,match_tap,0,255,0,314,606,1643,0
0,2,18,0,0,0,0,0,0,0,0
0,2,18,0,0,0,0,0,0,0,0
27,2,18,0,0,0,0,0,0,0,0
0,2,19,0,0,0,0,0,0,0,0
147,2,19,0,0,0,0,0,0,0,0
0,2,19,0,0,0,0,0,0,0,0
107,2,19,clash_this,0,136,208,745,485,0,0
0,2,20,0,0,0,0,0,0,0,0
147,2,20,match_this,0,578,158,1157,394,1283,0
0,2,20,0,0,0,0,0,0,0,0
107,2,20,0,0,0,0,0,0,0,0
53,2,21,0,0,0,0,0,0,0,0
0,2,21,0,0,0,0,0,0,0,0
15,2,21,clash_tap,1396,890,0,704,499,1860,0
0,2,21,0,0,0,0,0,0,0,0
53,2,22,match_tap,0,848,178,647,1063,0,0
0,2,22,0,0,0,0,0,0,0,0
0,2,22,0,0,0,0,0,0,0,0
15,2,22,0,0,0,0,0,0,0,0
173,2,23,0,0,0,0,0,0,0,0
0,2,23,0,0,0,0,0,0,0,0
0,2,23,0,0,0,0,0,0,0,0
43,2,23,clash_this,340,665,0,208,1118,0,0
0,2,24,0,0,0,0,0,0,0,0
173,2,24,match_this,0,539,177,449,745,1520,0
0,2,24,0,0,0,0,0,0,0,0
43,2,24,0,0,0,0,0,0,0,0
0,2,25,0,0,0,0,0,0,0,0
87,2,25,0,0,0,0,0,0,0,0
121,2,25,clash_tap,1699,1191,432,103,1022,1407,0
0,2,25,0,0,0,0,0,0,0,0
87,2,26,match_tap,0,633,180,729,704,0,0
0,2,26,0,0,0,0,0,0,0,0
121,2,26,0,0,0,0,0,0,0,0
0,2,26,0,0,0,0,0,0,0,0
197,2,27,0,0,0,0,0,0,0,0
0,2,27,0,0,0,0,0,0,0,0
0,2,27,0,0,0,0,0,0,0,0
33,2,27,clash_this,968,371,211,428,465,820,0
0,2,28,0,0,0,0,0,0,0,0
197,2,28,match_this,1049,580,195,756,941,286,0
33,2,28,0,0,0,0,0,0,0,0
0,2,28,0,0,0,0,0,0,0,0
73,2,29,0,0,0,0,0,0,0,0
0,2,29,0,0,0,0,0,0,0,0
193,2,29,clash_tap,0,1207,153,668,666,1685,0
0,2,29,0,0,0,0,0,0,0,0
73,2,30,match_tap,1612,799,168,809,1281,1716,0
0,2,30,0,0,0,0,0,0,0,0
193,2,30,0,0,0,0,0,0,0,0
0,2,30,0,0,0,0,0,0,0,0
0,2,31,0,0,0,0,0,0,0,0
47,2,31,0,0,0,0,0,0,0,0
0,2,31,0,0,0,0,0,0,0,0
67,2,31,clash_this,0,1224,165,1517,539,709,0
0,2,32,0,0,0,0,0,0,0,0
47,2,32,match_this,350,1429,0,765,439,1706,0
0,2,32,0,0,0,0,0,0,0,0
67,2,32,0,0,0,0,0,0,0,0
0,2,33,0,0,0,0,0,0,0,0
179,2,33,0,0,0,0,0,0,0,0
23,2,33,clash_tap,1723,603,224,883,693,1867,0
0,2,33,0,0,0,0,0,0,0,0
179,2,34,match_tap,0,558,192,1319,638,1551,0
0,2,34,0,0,0,0,0,0,0,0
0,2,34,0,0,0,0,0,0,0,0
23,2,34,0,0,0,0,0,0,0,0
0,2,35,0,0,0,0,0,0,0,0
127,2,35,0,0,0,0,0,0,0,0
0,2,35,0,0,0,0,0,0,0,0
79,2,35,clash_this,0,724,309,551,526,1536,0
0,2,36,0,0,0,0,0,0,0,0
127,2,36,match_this,571,190,165,541,403,1243,0
0,2,36,0,0,0,0,0,0,0,0
79,2,36,0,0,0,0,0,0,0,0
0,2,37,0,0,0,0,0,0,0,0
103,2,37,0,0,0,0,0,0,0,0
163,2,37,clash_tap,0,390,0,240,886,0,0
0,2,37,0,0,0,0,0,0,0,0
103,2,38,match_tap,0,185,136,686,667,1763,0
0,2,38,0,0,0,0,0,0,0,0
0,2,38,0,0,0,0,0,0,0,0
163,2,38,0,0,0,0,0,0,0,0
113,2,39,0,0,0,0,0,0,0,0
0,2,39,0,0,0,0,0,0,0,0
0,2,39,0,0,0,0,0,0,0,0
137,2,39,clash_this,0,888,141,846,643,1978,0
0,2,40,0,0,0,0,0,0,0,0
113,2,40,match_this,0,108,185,576,425,1962,0
137,2,40,0,0,0,0,0,0,0,0
0,2,40,0,0,0,0,0,0,0,0
97,3,1,0,0,0,0,0,0,0,0
97,3,1,match_this,657,787,251,601,636,1555,0
17,3,1,0,0,0,0,0,0,0,0
0,3,1,0,0,0,0,0,0,0,0
97,3,2,0,0,0,0,0,0,0,0
0,3,2,0,0,0,0,0,0,0,0
17,3,2,0,0,0,0,0,0,0,0
17,3,2,clash_this,902,881,267,536,1034,1467,0
119,3,3,match_tap,0,806,420,1115,1092,1783,0
119,3,3,0,0,0,0,0,0,0,0
0,3,3,0,0,0,0,0,0,0,0
187,3,3,0,0,0,0,0,0,0,0
0,3,4,0,0,0,0,0,0,0,0
119,3,4,0,0,0,0,0,0,0,0
187,3,4,clash_tap,645,790,157,583,296,965,0
187,3,4,0,0,0,0,0,0,0,0
81,3,5,0,0,0,0,0,0,0,0
81,3,5,match_this,182,390,220,161,821,378,0
133,3,5,0,0,0,0,0,0,0,0
0,3,5,0,0,0,0,0,0,0,0
81,3,6,0,0,0,0,0,0,0,0
0,3,6,0,0,0,0,0,0,0,0
133,3,6,0,0,0,0,0,0,0,0
133,3,6,clash_this,1932,900,193,696,367,1689,0
59,3,7,match_tap,0,955,294,665,707,0,0
59,3,7,0,0,0,0,0,0,0,0
0,3,7,0,0,0,0,0,0,0,0
151,3,7,0,0,0,0,0,0,0,0
0,3,8,0,0,0,0,0,0,0,0
0,3,8,0,0,0,0,0,0,0,0
151,3,8,clash_tap,1979,1084,160,925,936,1018,0
151,3,8,0,0,0,0,0,0,0,0
61,3,9,0,0,0,0,0,0,0,0
61,3,9,match_this,0,0,0,212,1169,1436,0
183,3,9,0,0,0,0,0,0,0,0
0,3,9,0,0,0,0,0,0,0,0
61,3,10,0,0,0,0,0,0,0,0
0,3,10,0,0,0,0,0,0,0,0
0,3,10,0,0,0,0,0,0,0,0
183,3,10,clash_this,1139,705,198,448,460,1235,0
157,3,11,match_tap,814,662,151,461,152,450,0
0,3,11,0,0,0,0,0,0,0,0
0,3,11,0,0,0,0,0,0,0,0
3,3,11,0,0,0,0,0,0,0,0
0,3,12,0,0,0,0,0,0,0,0
157,3,12,0,0,0,0,0,0,0,0
0,3,12,0,0,0,0,0,0,0,0
3,3,12,0,0,0,0,0,0,0,0
0,3,13,0,0,0,0,0,0,0,0
39,3,13,match_this,466,183,270,547,511,683,0
0,3,13,0,0,0,0,0,0,0,0
0,3,13,0,0,0,0,0,0,0,0
39,3,14,0,0,0,0,0,0,0,0
0,3,14,0,0,0,0,0,0,0,0
93,3,14,0,0,0,0,0,0,0,0
93,3,14,clash_this,0,738,356,359,885,1140,0
9,3,15,match_tap,1675,771,0,468,1452,1511,0
0,3,15,0,0,0,0,0,0,0,0
0,3,15,0,0,0,0,0,0,0,0
0,3,15,0,0,0,0,0,0,0,0
0,3,16,0,0,0,0,0,0,0,0
9,3,16,0,0,0,0,0,0,0,0
167,3,16,clash_tap,956,1206,211,1007,639,804,0
167,3,16,0,0,0,0,0,0,0,0
0,3,17,0,0,0,0,0,0,0,0
143,3,17,match_this,0,1157,0,1219,1160,0,0
27,3,17,0,0,0,0,0,0,0,0
0,3,17,0,0,0,0,0,0,0,0
143,3,18,0,0,0,0,0,0,0,0
0,3,18,0,0,0,0,0,0,0,0
0,3,18,0,0,0,0,0,0,0,0
27,3,18,clash_this,1071,634,203,1235,428,966,0
147,3,19,match_tap,1705,383,147,493,460,1425,0
147,3,19,0,0,0,0,0,0,0,0
0,3,19,0,0,0,0,0,0,0,0
107,3,19,0,0,0,0,0,0,0,0
0,3,20,0,0,0,0,0,0,0,0
147,3,20,0,0,0,0,0,0,0,0
107,3,20,clash_tap,0,1178,582,799,796,1534,0
107,3,20,0,0,0,0,0,0,0,0
53,3,21,0,0,0,0,0,0,0,0
53,3,21,match_this,562,166,451,227,877,736,0
15,3,21,0,0,0,0,0,0,0,0
0,3,21,0,0,0,0,0,0,0,0
53,3,22,0,0,0,0,0,0,0,0
0,3,22,0,0,0,0,0,0,0,0
0,3,22,0,0,0,0,0,0,0,0
15,3,22,clash_this,0,1341,173,437,939,1713,0
173,3,23,match_tap,1157,604,227,424,224,1910,0
0,3,23,0,0,0,0,0,0,0,0
0,3,23,0,0,0,0,0,0,0,0
43,3,23,0,0,0,0,0,0,0,0
0,3,24,0,0,0,0,0,0,0,0
173,3,24,0,0,0,0,0,0,0,0
43,3,24,clash_tap,1059,605,239,889,604,0,0
43,3,24,0,0,0,0,0,0,0,0
0,3,25,0,0,0,0,0,0,0,0
87,3,25,match_this,0,879,360,1174,869,1553,0
121,3,25,0,0,0,0,0,0,0,0
0,3,25,0,0,0,0,0,0,0,0
87,3,26,0,0,0,0,0,0,0,0
0,3,26,0,0,0,0,0,0,0,0
121,3,26,0,0,0,0,0,0,0,0
121,3,26,clash_this,1721,1297,366,591,582,831,0
197,3,27,match_tap,0,249,424,780,1170,1098,0
0,3,27,0,0,0,0,0,0,0,0
0,3,27,0,0,0,0,0,0,0,0
33,3,27,0,0,0,0,0,0,0,0
0,3,28,0,0,0,0,0,0,0,0
197,3,28,0,0,0,0,0,0,0,0
33,3,28,clash_tap,0,970,215,363,137,921,0
0,3,28,0,0,0,0,0,0,0,0
73,3,29,0,0,0,0,0,0,0,0
73,3,29,match_this,1042,568,180,1239,668,942,0
193,3,29,0,0,0,0,0,0,0,0
0,3,29,0,0,0,0,0,0,0,0
73,3,30,0,0,0,0,0,0,0,0
