Subj Nques Cans Pcorr
5t_processed.asc 100 95 0.0
f181069_processed.asc 100 83 0.0
2t_processed.asc 100 77 0.0
f181060t_processed.asc 100 96 0.0
f181054_processed.asc 100 94 0.0
f181053_processed.asc 100 94 0.0
subj6_processed.asc 100 88 0.0
f181079_processed.asc 100 91 0.0
f181057_processed.asc 100 72 0.0
subject7_processed.asc 100 68 0.0
f181068b_processed.asc 100 82 0.0
f181089_processed.asc 100 69 0.0
f181090_processed.asc 100 93 0.0
f181083_processed.asc 100 86 0.0
subj11_processed.asc 100 94 0.0
f181087b_processed.asc 100 95 0.0
f181073_processed.asc 100 89 0.0
f181064_processed.asc 100 90 0.0
subj8_processed.asc 100 87 0.0
f181060_processed.asc 100 96 0.0
f181070b_processed.asc 100 69 0.0
f181077_processed.asc 100 62 0.0
f181059_processed.asc 100 90 0.0
f181067_processed.asc 100 95 0.0
f181071b_processed.asc 100 76 0.0
subj12_processed.asc 100 87 0.0
subj16_processed.asc 100 94 0.0
f181074_processed.asc 100 95 0.0
f181063_processed.asc 100 89 0.0
f181084_processed.asc 100 95 0.0
f181080_processed.asc 100 93 0.0
f181062_processed.asc 100 71 0.0
f181075_processed.asc 100 92 0.0
subj13_processed.asc 100 88 0.0
f181066_processed.asc 100 90 0.0
f181050_all_processed.asc 100 98 0.0
f181081_processed.asc 100 89 0.0
f181082_processed.asc 100 95 0.0
f181086_processed.asc 100 92 0.0
subj14_processed.asc 100 87 0.0
f181076_processed.asc 100 80 0.0
subj9_processed.asc 100 94 0.0
f181061_processed.asc 100 54 0.0
f181065_processed.asc 100 80 0.0
f181072_processed.asc 100 87 0.0
subj10_processed.asc 100 89 0.0
f181056_processed.asc 100 93 0.0
f181078_processed.asc 100 95 0.0
f181052_processed.asc 100 79 0.0
f181088_processed.asc 100 83 0.0
f181055_processed.asc 100 87 0.0
subject1_processed.asc 100 86 0.0
f181051_processed.asc 100 97 0.0
