Subj Nques Cans Pcorr
../data/reformatted_asc/f181062_reformatted.asc 100 71 0.71
../data/reformatted_asc/f181083_reformatted.asc 100 86 0.86
../data/reformatted_asc/subj14_reformatted.asc 100 87 0.87
../data/reformatted_asc/f181060t_reformatted.asc 100 96 0.96
../data/reformatted_asc/subject1_reformatted.asc 100 86 0.86
../data/reformatted_asc/f181074_reformatted.asc 100 95 0.95
../data/reformatted_asc/f181073_reformatted.asc 100 89 0.89
../data/reformatted_asc/5t_reformatted.asc 100 95 0.95
../data/reformatted_asc/subj13_reformatted.asc 100 88 0.88
../data/reformatted_asc/f181057_reformatted.asc 100 72 0.72
../data/reformatted_asc/f181084_reformatted.asc 100 95 0.95
../data/reformatted_asc/f181065_reformatted.asc 100 80 0.8
../data/reformatted_asc/subject7_reformatted.asc 100 68 0.68
../data/reformatted_asc/f181072_reformatted.asc 100 87 0.87
../data/reformatted_asc/f181056_reformatted.asc 100 93 0.93
../data/reformatted_asc/subj12_reformatted.asc 100 87 0.87
../data/reformatted_asc/f181064_reformatted.asc 100 90 0.9
../data/reformatted_asc/f181059_reformatted.asc 100 90 0.9
../data/reformatted_asc/f181050_all_reformatted.asc 100 98 0.98
../data/reformatted_asc/f181082_reformatted.asc 100 95 0.95
../data/reformatted_asc/subj6_reformatted.asc 100 88 0.88
../data/reformatted_asc/f181063_reformatted.asc 100 89 0.89
../data/reformatted_asc/f181051_reformatted.asc 100 97 0.97
../data/reformatted_asc/f181075_reformatted.asc 100 92 0.92
../data/reformatted_asc/f181068b_reformatted.asc 100 82 0.82
../data/reformatted_asc/f181069_reformatted.asc 100 83 0.83
../data/reformatted_asc/f181054_reformatted.asc 100 94 0.94
../data/reformatted_asc/subj10_reformatted.asc 100 89 0.89
../data/reformatted_asc/f181088_reformatted.asc 100 83 0.83
../data/reformatted_asc/f181091_reformatted.asc 100 89 0.89
../data/reformatted_asc/f181066_reformatted.asc 100 90 0.9
../data/reformatted_asc/f181070b_reformatted.asc 100 69 0.69
../data/reformatted_asc/f181080_reformatted.asc 100 93 0.93
../data/reformatted_asc/f181078_reformatted.asc 100 95 0.95
../data/reformatted_asc/f181053_reformatted.asc 100 94 0.94
../data/reformatted_asc/f181081_reformatted.asc 100 89 0.89
../data/reformatted_asc/f181079_reformatted.asc 100 91 0.91
../data/reformatted_asc/f181071b_reformatted.asc 100 76 0.76
../data/reformatted_asc/f181076_reformatted.asc 100 80 0.8
../data/reformatted_asc/f181052_reformatted.asc 100 79 0.79
../data/reformatted_asc/subj16_reformatted.asc 100 94 0.94
../data/reformatted_asc/f181089_reformatted.asc 100 69 0.69
../data/reformatted_asc/f181055_reformatted.asc 100 87 0.87
../data/reformatted_asc/f181090_reformatted.asc 100 93 0.93
../data/reformatted_asc/f181087b_reformatted.asc 100 95 0.95
../data/reformatted_asc/f181086_reformatted.asc 100 92 0.92
../data/reformatted_asc/f181067_reformatted.asc 100 95 0.95
